war_total,next_season_war_total,player_name,player_id,season,poss,mp,raptor_offense,raptor_defense,raptor_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
-0.056545837,0.228928554,Tariq Abdul-Wahad,abdulta01,2002,841,441,-2.52432447,-0.478044626,-3.002369096,-0.056545837,0,-2.679624666,-0.135060136,-2.814684803,0.412453313,DAL,27,198.12,101.151016,San Jose State,World,1997,1,11,24,5.6,3.5,1,-7.8,0.097,0.115,0.19,0.418,0.09
0.228928554,NA,Tariq Abdul-Wahad,abdulta01,2003,553,283,-0.212466036,-0.957465632,-1.169931668,0.199733283,0.029195272,-0.861447773,-1.391197723,-2.252645496,-0.325525039,DAL,28,198.12,102.0582,San Jose State,World,1997,1,11,14,4.1,2.9,1.5,8.5,0.075,0.13699999999999998,0.15,0.47,0.147
-0.126587938,NA,Tariq Owens,owensta01,2020,31,15,-4.6755531,-14.75488578,-19.43043888,-0.126587938,0,1.323530083,-10.55036852,-9.226838438,-0.853799492,PHX,25,208.28,92.98636,Texas Tech,USA,Undrafted,U,NA,3,1.3,1,0,-43.4,0.105,0.067,0.171,0.34,0
-0.119614311,NA,Taurean Green,greenta01,2008,145,74,-3.640826127,-2.118538965,-5.759365092,-0.119614311,0,-3.547113333,-4.050175418,-7.597288751,1.324542546,DEN,21,182.88,80.28578399999998,Florida,USA,2007,2,52,17,1.6,0.6,0.6,5.4,0,0.141,0.23,0.446,0.208
0.812024603,0.164629795,Taurean Prince,princta02,2017,2421,1168,-3.133508726,1.7185408,-1.414967927,0.486047748,0.325976855,-3.767279267,0.955257846,-2.812021421,0.694673094,ATL,23,203.2,99.79024,Baylor,USA,2016,1,12,59,5.7,2.7,0.9,-0.8,0.027,0.14300000000000002,0.171,0.513,0.091
0.164629795,0.143555412,Taurean Prince,princta02,2018,5135,2464,-0.836243684,-1.784507951,-2.620751636,0.164629795,0,-0.583335922,-1.587205829,-2.17054175,1.311022451,ATL,24,203.2,99.79024,Baylor,USA,2016,1,12,82,14.1,4.7,2.6,-7.5,0.02,0.138,0.21600000000000005,0.5489999999999999,0.135
0.143555412,0.552309816,Taurean Prince,princta02,2019,3436,1552,-0.64387921,-1.926881787,-2.570760997,0.143555412,0,-0.457504505,-1.731823911,-2.189328416,1.169392322,ATL,25,203.2,99.79024,Baylor,USA,2016,1,12,55,13.5,3.6,2.1,-6.9,0.013,0.11,0.19,0.575,0.107
0.552309816,0.9885471415777558,Taurean Prince,princta02,2020,3948,1857,-2.386240313,0.215579468,-2.170660844,0.552309816,0,-1.72680661,0.280638228,-1.446168382,0.636170201,BKN,26,200.66,98.883056,Baylor,USA,2016,1,12,64,12.1,6,1.8,1.3,0.024,0.162,0.2,0.49700000000000005,0.09
0.9885471415777558,NA,Taurean Prince,princta02,2021,1918,905,-0.4884506645838147,-0.147440345105869,-0.6358910096896838,0.9885471415777558,0,-0.4359730963263948,-0.5206974892944533,-0.956670585620848,0.6087171956860985,CLE,27,200.66,98.883056,Baylor,USA,2016,1,12,41,9.5,3.5,1.9,-6.1,0.021,0.132,0.18899999999999997,0.54,0.121
-0.040843133,NA,Taylor Griffin,griffta01,2010,64,32,-4.485087149,-0.743389884,-5.228477033,-0.040843133,0,-4.77802814,-2.092323373,-6.870351513,0.878091312,PHX,24,200.66,107.954896,Oklahoma,USA,2009,2,48,8,1.3,0.3,0.1,1.5,0,0.063,0.17800000000000002,0.425,0.05599999999999999
0.640475572,7.493150812,Tayshaun Prince,princta01,2003,1492,817,-1.02878797,-0.234231785,-1.263019755,-0.046251297,0.68672687,-1.268152335,-1.545745941,-2.813898275,-0.280077329,DET,23,205.74,97.52228,Kentucky,USA,2002,1,23,42,3.3,1.1,0.6,-3.8,0.013,0.108,0.16399999999999998,0.546,0.104
7.493150812,11.6109831,Tayshaun Prince,princta01,2004,6445,3496,0.495120746,0.920409142,1.415529888,4.671748353,2.821402459,0.20951413,0.755227341,0.96474147,-0.560258268,DET,24,205.74,97.52228,Kentucky,USA,2002,1,23,82,10.3,4.8,2.3,7.3,0.04,0.124,0.156,0.536,0.122
11.6109831,7.929308883,Tayshaun Prince,princta01,2005,7423,4062,1.648966176,1.198832589,2.847798765,8.22082311,3.390159985,1.27345128,0.833828013,2.107279292,-0.802295719,DET,25,205.74,97.52228,Kentucky,USA,2002,1,23,82,14.7,5.3,3,7.8,0.051,0.113,0.188,0.556,0.14
7.929308883,9.007175905,Tayshaun Prince,princta01,2006,6634,3643,0.925019135,0.591689697,1.516708832,5.513262762,2.416046122,0.86619871,0.084516819000000007,0.950715529,-0.998279029,DET,26,205.74,97.52228,Kentucky,USA,2002,1,23,82,14.1,4.2,2.3,12,0.042,0.099,0.198,0.524,0.106
9.007175905,8.131551812,Tayshaun Prince,princta01,2007,6723,3666,1.848640382,0.23682467,2.085465052,7.243764007,1.763411898,1.7264356810000001,-0.085344932,1.641090749,-0.945833128,DET,27,205.74,97.52228,Kentucky,USA,2002,1,23,82,14.3,5.2,2.8,6.1,0.057,0.114,0.19,0.534,0.127
8.131551812,3.903710121,Tayshaun Prince,princta01,2008,6154,3365,1.386032511,0.618031092,2.004063603,6.411090638,1.720461173,1.269289583,0.030210725,1.299500308,-0.95957598,DET,28,205.74,97.52228,Kentucky,USA,2002,1,23,82,13.2,4.9,3.3,9.4,0.048,0.131,0.201,0.516,0.165
